Institution,Rue,Lieu,ZIP,Email,Tel
Bibliothèque communale et scolaire de Vionnaz,Rue du Collège 6,VIONNAZ,1895,bibliothque@vionnaz.ch,024 4813097
Bibliothèque communale et scolaire Val d'Illiez,Route de Proz 6,VAL-D'ILLIEZ,1873,biblio.illiez@theswissmail.ch,024 4768761
Bibliothèque Conthey,Rue Centrale 26,Conthey,1964,bibliotheque.conthey@netplus.ch,079/222.27.57
Bibliothèque d'Anniviers,Centre scolaire,Vissoie,3961,bibliothèque@anniviers.org,027-476-15-16
Bibliothèque de Bagnes,Route du Collège 17,Le Châble,1934,biblio@bagnes.ch,(027) 777-11-19
Bibliothèque de Crans-Montana,Immeuble Scandia / Rue Centrale 7,CRANS-MONTANA,3963,biblio@cransmontana.ch,027-481-72-73
Bibliothèque de l'Ecole supérieure domaine social Valais,Rue de Gravelone 5,Sion,1950,biblio.es-social@hevs.ch,058/6068410
Bibliothèque de la Sainte-Famille Erde,Bâtiment du centre scolaire,Erde,1976,bibliotheque.stefamille@netplus.ch,027/346.45.78
Bibliothèque de Martigny-Combe,Route de la Condémine 5,Martigny-Croix,1921,biblio@martigny-combe.ch,027-722-33-11
Bibliothèque de Mont-Noble,La Place no. 4,Nax,1973,bibliotheque-mont-noble@netplus.ch,027-203-14-19
Bibliothèque de St-Martin,Rue de l'Eglise 7,St-Martin,1969,biblio@saint-martin.ch,079-461-19-17
Bibliothèque de Vétroz-Magnot,Route de l'Abbaye 42,VETROZ,1963,bibliotheque@vetroz.ch,027/345.37.84
Bibliothèque du Cycle d'orientation des Collines,Chemin des Collines 27,SION,1950,collines@bibliovs.ch,027/322.22.85
Bibliothèque du Lycée-collège des Creusets,Rue de Saint-Guérin 34,SION,1950,bibliotheque@creusets.net,027/606.78.60
Bibliothèque interculturelle l'Ardoise,Rue de Loèche 1,SION,1950,frederic.moix@admin.vs.ch,027/606.18.60
Bibliothèque-Ludothèque d'Evolène,"Centre scolaire d'Evolène, Rue Centrale 109",Evolène,1983,bibludo.evolene@bluewin.ch,079 2809305
Bibliothèque / Médiathèque Grimisuat,Rue de Coméraz 43,Grimisuat,1971,bibliogrimi@tvs2net.ch,027/3991885
Bibliothèque-Médiathèque Sierre (BMS),Notre-Dame des Marais 5,Sierre,3960,biblio.bms@sierre.ch,(027) 452-02-60
Bibliothèque municipale et scolaire,Rue des Ecoles,Orsières,1937,biblio.orsieres@dransnet.ch,027/782.62.85
Bibliothèque municipale et scolaire de Vouvry,Grand-Rue 23,VOUVRY,1896,bibliovouvry1@bluewin.ch,024 481 66 35
Bibliothèque scolaire de Crans-Montana,Centre scolaire de Crans-Montana / Rte des Sommets de Crans 25 CP 102,CRANS-MONTANA,3963,biblio-montana@tvs2net.ch,027/481.10.05
Bibliothèque scolaire de Montana-Village,Centre scolaire de Montana Village,MONTANA-VILLAGE,3962,ecole.montana-village@netplus.ch,027-481-49-21
Bibliothèque scolaire et communale de Saillon,Chem. des Ecoliers 111,Saillon,1913,bibliotheque@saillon.ch,(027) 744-38-46
Bibliothèque UNIL-UNIGE Sion,Chemin de l'Institut 18,Bramois,1967,biblio.sion@unil.ch,027 2057313
Centre de documentation le crepa / Centre Régional d'Etudes des Populations Alpines,Rue Saint-Honoré 14,Sembrancher,1933,jean-charles.fellay@crepa.ch,027/785.22.20
"Cycle d'Orientation d'Octodure, Bibliothèque",Rue du Simplon 1,Martigny,1920,biblio@comartigny.ch,027 7222313
Cycle d'Orientation de Saint-Guérin / Bibliothèque,Petit-Chasseur 43,Sion,1950,mediatheque@cosg.ch,027/324.13.23
"ECCG-EPP, Médiathèque",Ch. des Collines 50,SION,1950,mediatheque.ecsion@eduvs.ch,027/324.13.40
Étoile Sonore,Chemin du Monastère 6,Collombey,1868,info@etoilesonore.ch,(024) 471-82-10
FIESCH Regionalbibliothek,Präfektenhaus,Fiesch,3984,bibliothek@gemeinde-fiesch.ch,027-971-00-70
Forschungsinstitut zur Geschichte des Alpenraums,Alte Simplonstrasse 28,Brig,3900,fga@stockalperstiftung.ch,027 9230407
Gemeinde Bibliothek Zermatt,Bahnhofstrasse 92,Zermatt,3920,gemeindebibliothek@zermatt.ch,(027) 967-57-00
Gemeindebibliothek,Belalpstrasse 10,Naters,3904,gemeindebibliothek@naters.ch,027/922.75.94
"HES-SO Valais-Wallis, Ecole de design et haute école d'art du Valais (EDHEA) \ Bibliothèque",Route de la Bonne-Eau 16,Sierre,3960,biblio-edhea@hevs.ch,058 6068890
"HES-SO Valais, Médiathèque santé",Chemin de l'Agasse 5,Sion,1950,biblio.sante@hevs.ch,027-606-84-10
"HES-SO Valais Médiathèque Sociale, Gestion & Tourisme",Rte de la Plaine 2,Sierre,3960,biblio.sierre@hevs.ch,027 6068927
"HES-SO Valais/Wallis, Mediathek Physiotherapie",Rathausstrasse 8,Leukerbad,3954,Biblio.gesundheit@hevs.ch,027/6079100
HES-SO Valais-Wallis Médiathèque Haute école d'ingénierie,Route du Rawyl 47,Sion 2,1950,biblio@hevs.ch,(027) 606-85-80
HES-SO Wallis Mediathek Pflege,Pflanzettastrasse 6,Visp,3930,biblio.gesundheit@hevs.ch,027 604 28 01
Lötschentaler Museum,Museumsweg 1,Kippel,3917,info@loetschentalermuseum.ch,027/939.18.71
Lonza AG Bibliothek,Rottenstrasse 6,Visp,3930,library.visp@lonza.com,027 9485302
Mediathek Visp,Baumgärten Wichelgasse 16,Visp,3930,bibliothek@visp.ch,(027) 948-99-85
Mediathek Wallis Brig,Schlossstr. 30,Brig-Glis,3900,mediathek-wallis-brig@admin.vs.ch,027/607.15.00
Médiathèque de Monthey,Avenue du Théâtre 2,Monthey,1870,mediatheque@monthey.ch,024/4757560
Médiathèqe Valais - Martigny,Av. de la Gare 15,Martigny,1920,mediatheque-valais-martigny@admin.vs.ch,027 6071540
Médiathèque Valais - Sion,Rue de Lausanne 45,Sion,1950,mediatheque-valais-sion@admin.vs.ch,027/6064550
Médiathèque Valais Saint-Maurice,"Bâtiment St-Augustin, Av. du Simplon 6",St-Maurice,1890,mediatheque-valais-stmaurice@admin.vs.ch,024-486-11-80
Mt MARTIGNY CO Ste-Jeanne-Antide Bibliothèque,Bibliothèque scolaire / Rue du Simplon 10,MARTIGNY,1920,bibliosja@mycable.ch,(027) 722-22-88
Point-Lecture de Finhaut,Route du Village 54,Finhaut,1925,commune@finhaut.ch,027 768 12 10
Point lecture de Vérossaz,Rue de l'école 10,VEROSSAZ,1891,albi.daves@bluewin.ch,(079) 390-81-08
Point lecture de Vollèges,Ecole enfantine,VOLLEGES,1941,ptlecturevolleges@yahoo.fr,027/785.25.31
Regionalbibliothek Obergoms,Furkastr. 109,Münster,3985,bibliothek.obergoms@bluewin.ch,027 9732625
Walliser Kantonsmuseen - Bibliothek,rue des châteaux 14,Sitten,1950,ursula.gasser-crettenand@admin.vs.ch,(027) 606-46-70
Bibliothek Baar,Rathausstrasse 4,Baar,6340,bibliothek@baar.ch,041 7690160
Bibliothek Zug,St.-Oswalds-Gasse 21,Zug,6301,bibliothek@stadtzug.ch,(058) 728-95-00
Bürgerarchiv Zug,"Rathaus, Fischmarkt",Zug,6300,info@buergergemeinde-zug.ch,(041) 725-37-50
Burg Zug,Kirchenstrasse 11,Zug,6300,info@burgzug.ch,041/7282970
Didaktisches Zentrum des Kantons Zug,Hofstrasse 15,Zug,6300,bibliothek.dz@zg.ch,041/7282930
Fachstelle BKM Bildung-Katechese-Medien Baar,Landhausstrasse 15,Baar,6340,bkm@zg.kath.ch,041/767.71.30
Kantonales Museum für Urgeschichte,Hofstrasse 15,Zug,6300,info.urgeschichte@dbk.zg.ch,041 728 28 80
"Kantonsschule Menzingen KSM, Mediathek",Seminarstrasse 12,Menzingen,6313,mediathek@ksmenzingen.ch,041-728-16-50
Medela AG,Lättichstrasse 4b,Baar,6340,martin.elbel@medela.com,041 562 11 11
"Pädagogische Hochschule Zug, Mediothek",Zugerbergstrasse 3,Zug,6300,mediothek@phzg.ch,041 7271310
Schweizerische Bauernhausforschung,Hofstrasse 15,Zug,6300,benno.furrer@zg.ch,041 728 28 76
Stadtarchiv Zug,St.-Oswalds-Gasse 21,Zug,6301,stadtarchiv@stadtzug.ch,041/728.22.88
Aids-Informationsstelle Winterthur,Technikumstrasse 84,Winterthur,8401,info@aidsinfo.ch,(052) 212-81-41
Alte und Seltene Drucke der ETH-Bibliothek,Rämistrasse 101,Zürich,8092,rara@library.ethz.ch,044 6329307
Anthropologisches Institut und Museum / Universität Zürich / Bibliothek,Winterthurerstrasse 190,Zürich,8057,biblio@aim.uzh.ch,044 635 54 15
Archiv für Medizingeschichte der Universität Zürich,Winterthurerstrasse 30,Zürich,8006,gudrun.kling@uzh.ch,041 634 20 15
"Archiv für Zeitgeschichte, ETH Zürich",Hirschengraben 62,Zürich,8001,afz@history.gess.ethz.ch,044-632-40-03
Archiv Pfarrei St. Mauritius Regensdorf,Röm.-kath. Pfarramt St. Mauritius / Sekretariat / Schulstrasse 112,Regensdorf,8105,sekretariat@st-mauritius.ch,043-388-70-20
Archiv röm.-kath. Kirchgemeinde Regensdorf,Röm.-kath. Pfarramt / Sekretariat / Schulstrasse 112,Regensdorf,8105,sekretariat@st-mauritius.ch,(043) 388-70-20
"Asien-Orient-Institut der Universität Zürich, Bibliothek",Rämistrasse 59,Zürich,8001,ausleihtheke@aoi.uzh.ch,(044) 634-20-72
Baubibliothek ETHZ,ETH Hönggerberg,Zürich,8093,baubib@library.ethz.ch,(044) 633-29-06
"Baudirektion Kanton Zürich, ARV / Kantonale Denkmalpflege / Bibliothek",Stettbachstrasse 7,Dübendorf,8600,are.denkmalpflege@bd.zh.ch,043/2596900
"Berufsinformationszentren Kanton Zürich, biz, Infothek (Standorte: Horgen, Kloten, Meilen, Oerlikon, Urdorf, Uster und Winterthur)",Dörflistrasse 120,Zürich,8050,biz.medien@ajb.zh.ch,043-259-97-50
Bezirksgericht Zürich Hauptbibliothek,Badenerstrasse 90,Zürich,8004,hauptbibliothek.zuerich@gerichte-zh.ch,(044) 248-22-39
Bibliothek der Botanischen Institute der Universität Zürich,Zollikerstrasse 107,Zürich,8008,biblbot@systbot.uzh.ch,044 634 84 14
Bibliothek der Entomologischen Sammlung der ETH Zürich,Weinbergstrasse 56/58,Zürich,8092,entomological.collection@usys.ethz.ch,044/6338825
Bibliothek der evangelisch-reformierten Landeskirche,Hirschengraben 50,Zürich,8001,bibliothek@zh.ref.ch,044 258 92 73
Bibliothek der Gesundheitsdirektion Kanton Zürich,Stampfenbachstrasse 30,Zürich,8090,rechtsabteilung@gd.zh.ch,043/2592421
Bibliothek der Sukkulenten-Sammlung Zürich | Grün Stadt Zürich,Mythenquai 88,Zürich,8002,sukkulenten@zuerich.ch,044 4121280
"Bibliothek des Instituts für Musikwissenschaft, Uni Zürich",Florhofgasse 11,Zürich,8001,oscar.gillieron@mwi.uzh.ch,044 6344766
Bibliothek Egg,Dorfstrasse 4,Egg b. Zürich,8132,bibliothek@egg.ch,043 277 12 40
Bibliothek Erdwissenschaften,Sonneggstrasse 5,Zürich,8092,erdw@library.ethz.ch,044 6322560
"Bibliothek Ethnologie, ISEK Universität Zürich",Andreasstrasse 15,Zürich,8050,ethno-library@isek.uzh.ch,044 635 22 36
Bibliothek für Betriebswirtschaft (BFB) / am Institut für Betriebswirtschaftslehre (BFB) der Universität Zürich,Plattenstrasse 14,Zürich,8032,bfb@business.uzh.ch,044-634-29-78
Bibliothek Interkantonale Hochschule für Heilpädagogik / HfH-Bibliothek,Schaffhauserstrasse 239,Zürich,8050,bibliothek@hfh.ch,044 317 11 31
Bibliothek Männedorf,Haldenstrasse 60,Männedorf,8708,bibliothek@maennedorf.ch,044/920.22.48
Bibliothek Rüti Dürnten,Spitalstrasse 6,Rüti,8630,bibliothek@rueti.ch,055 5361565
Bibliothek Schlag,Geissbergweg 10,Zürich,8001,bibliothek.schlag@zb.uzh.ch,044 2683100
Bibliothek Seuzach,Strehlgasse 7,Seuzach,8472,bibliothek@seuzach.ch,052/320.41.41
Bibliothek Uetikon am See,Bergstrasse 105,Uetikon am See,8707,bibliothek@uetikonamsee.ch,044 9227181
Bibliothek Uitikon,Schwerzgruebstrasse 3,Uitikon Waldegg,8142,bibliothek@uitikon.org,044/200.15.36
Bibliothek Wetzikon,Kirchgasse 4,Wetzikon,8620,bibliothek@wetzikon.ch,044 931 23 70
Bibliothek zur Gleichstellung,Stadthausquai 17,Zürich,8001,gleichstellung@zuerich.ch,044/412.48.68
Bildarchiv der ETH-Bibliothek,Rämistrasse 101,Zürich,8092,bildarchiv@library.ethz.ch,044 632 07 97
BWI-Bibliothek ETHZ,Zürichbergstrasse 18,Zürich,8028,bwibib@library.ethz.ch,044-632-05-01
C.G. Jung-Institut Zürich / Bibliothek,Hornweg 28,Küsnacht ZH,8700,cg@junginstitut.ch,(044) 914-10-51
Cinémathèque suisse - Dokumentationsstelle Zürich,Neugasse 10,Zürich,8005,cszh@cinematheque.ch,(058) 800-02-00
Deutsches Seminar der Universität Zürich / Bibliothek,Schönberggasse 9,Zürich,8001,Bibliothek@ds.uzh.ch,044/634.25.55
Docu Media Schweiz GmbH / Schweizer Baudokumentation,Bahnhofstrasse 24,Rüschlikon,8803,baudoc@baudoc.ch,044 724 77 77
Dokumentation und Archive (D+A) Schweizer Radio und Fernsehen SRF,Fernsehstrasse 1-4,Zürich,8052,archiv@srf.ch,044 3055244
economiesuisse / Verband der Schweizer Unternehmen / Bibliothek und Dokumentation,Hegibachstrasse 47,Zürich,8032,info@economiesuisse.ch,044/421.35.35
Englisches Seminar der Universität Zürich / Bibliothek,Plattenstrasse 47,Zürich,8032,library@es.uzh.ch,(044) 634-35-51
"ETH-Bibliothek / (Hauptbibliothek der ETHZ, Eidgenössische Technische Hochschule Zürich)",Rämistrasse 101,Zürich,8092,info@library.ethz.ch,044-632-21-35
Europa Institut an der Universität Zürich (EIZ) - Bibliothek,Hirschengraben 56,Zürich,8001,eiz@eiz.uzh.ch,044 6344891
European Mathematical Society Publishing House,ETH-Zentrum SEW A21,Zürich,8092,hintermann@ems-ph.org,061/4812472
Evangelische Fernbibliothek,Guyer-Zeller-Str. 6,Wetzikon,8620,efb@fernbibliothek.ch,(076) 686-87-30
Fachbibliothek für Religionspädagogik,Hirschengraben 66,Zürich,8001,bibliothek@religionspaedagogikZH.ch,044/2661288
Fliegerärztliches Institut / Bibliothek,Bettlistrasse 16,Dübendorf,8600,infoamc@vtg.admin.ch,044/823.25.19
"focusTerra - Earth & Science Discovery Center, ETH Zürich","ETH Zürich, Sonneggstr. 5",Zürich,8092,info_focusterra@erdw.ethz.ch,044 6326281
Forschungsbibliothek Jakob Jud,Zürichbergstrasse 8,Zürich,8032,filippon@rom.uzh.ch,044/634.36.25
Forschungsbibliothek Pestalozzianum,Lagerstrasse 2,Zürich,8090,forschungsbibliothek-zsg@phzh.ch,043 305 57 77
Fotomuseum Winterthur,Grüzenstrasse 44 + 45,Winterthur,8400,fotomuseum@fotomuseum.ch,(052) 234-10-60
Gemeinde- und Schulbibliothek Dietlikon,Schulgasse 2,Dietlikon,8305,biblio.dietlikon@glattnet.ch,044 833 15 45
Gemeinde- und Schulbibliothek Ottenbach,Affolternstrasse 5,Ottenbach,8913,bibliothek.ottenbach@hispeed.ch,044 7611034
Gemeinde- und Schulbibliothek Rifferswil,Jonenbachstrasse 1,Rifferswil,8911,bibliothek.rifferswil@greenmail.ch,044/7641114
Gemeinde- und Schulbibliothek Stäfa,Schulanlage Obstgarten / Tränkebachstrasse 35,Stäfa,8712,bibliothek@lesegesellschaft.ch,044/9264376
Gemeindebibliothek Rosengarten Thalwil,Freiestrasse 32,Thalwil,8800,bibliothek.thalwil@swissonline.ch,044/720.99.29
Geographisches Institut / Universität Zürich-Irchel / Bibliothek / 25 K,Winterthurerstrasse 190,Zürich,8057,geobib@geo.uzh.ch,044/6355115
GESS-Bibliothek,Haldeneggsteig 4,Zürich,8092,gessbib@library.ethz.ch,(044) 632-74-80
Graphische Sammlung ETH Zürich Bibliothek,Rämistrasse 101,Zürich,8092,info@gs.ethz.ch,044 6324046
"Grün Stadt Zürich, Bibliothek",Beatenplatz 2,Zürich,8001,gsz-info@zuerich.ch,044 4122768
Grüne Bibliothek,Universitätstr. 16,Zürich,8092,gruene_bibliothek@library.ethz.ch,044 6328578
gta Archiv / NSL-Archiv,Stefano-Franscini-Platz 5,Zürich,8093,benutzung@gta.arch.ethz.ch,044/6332908
Historisches Seminar der Universität Bibliothek,Karl-Schmid-Strasse 4,Zürich,8006,hsbib@hist.uzh.ch,044 634 38 80
"Hochschularchiv der ETH Zürich, ETH-Bibliothek",Rämistrasse 101,Zürich,8092,archiv@library.ethz.ch,044/632.07.04
Infodoc RADIX / Dokumentation,Pfingstweidstrasse 10,Zürich,8005,morosoli@radix.ch,044-360-41-00
Informatikbibliothek ETH,Haldeneggsteig 4 / IFW B35,Zürich,8092,library@inf.ethz.ch,044 6327207
"Informationszentrum Chemie | Biologie | Pharmazie, ETH Zürich",Vladimir-Prelog Weg 10,Zürich,8093,infodesk@chem.ethz.ch,(044) 632-30-66
Institut für Baustoffe / Holzbasierte Materialien,Stefano-Franscini-Platz 3,Zürich,8093,ifbsek@ifb.baug.ethz.ch,044 632 32 26
Institut für Energietechnik / Laboratorium für Aerothermochemie und Verbrennungssysteme / Bibliothek,Sonneggstrasse 3,Zürich,8092,blatter@lav.mavt.ethz.ch,044-632-36-68
Institut für Geschichte und Theorie der Architektur (gta) - Digitale Diathek,Stefano-Franscini-Platz 5,Zürich,8093,info@digitale-diathek.net,044/6332930
"Institut für Kartografie und Geoinformation, ETHZ",Stefano-Franscini-Platz 5,Zürich,8093,sekarto@ethz.ch,044/633.30.33
Institut für Kommunikationswissenschaft und Medienforschung (IKMZ),Andreasstrasse 15,Zürich,8050,bibliothek@ikmz.uzh.ch,044/6344663
Institut für Politikwissenschaft der Universität Zürich / Bibliothek,Seilergraben 53,Zürich,8001,bibliothek@ipz.uzh.ch,044-634-41-40
Institut für Populäre Kulturen der Universität Zürich / Abt. Populäre Literaturen und Medien / Bibliothek,Affolternstrasse 56,Zürich,8050,bibliothek@ipk.uzh.ch,044 634 24 33
Institut G2W,Birmensdorferstr. 52,Zürich,8036,g2w.sui@bluewin.ch,044-342-18-19
Jesuitenbibliothek Zürich,Hirschengraben 74,Zürich,8001,info@jesuitenbibliothek.ch,044-266-21-18
Johann-Jacobs-Museum / Bibliothek,Seefeldquai 17,Zürich,8034,team@johann-jacobs-museum.ch,044/388.61.51
Kantonsschule Büelrain Mediothek,Rosenstrasse 1,Winterthur,8400,mediothek@kbw.ch,(052) 260-03-34
Kantonsschule Zürcher Oberland / Mediothek,Bühlstrasse 36,Wetzikon ZH,8620,mediothek@kzo.ch,044 933 08 47
Karten der ETH-Bibliothek,Rämistrasse 101,Zürich,8092,karten@library.ethz.ch,044/6329307
Kunsthaus Zürich Bibliothek,Rämistrasse 45,Zürich,8001,bibliothek@kunsthaus.ch,044-253-85-31
"Kunsthaus Zürich, Grafische Sammlung",Rämistrasse 45,Zürich,8001,grafischesammlung@kunsthaus.ch,044/253.84.84
"Lib4RI: Eawag-Empa / Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL",Ueberlandstrasse 133,Dübendorf,8600,info@lib4ri.ch,058/765.57.00
"Lib4RI: WSL / Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL",Zürcherstrasse 111,Birmensdorf ZH,8903,info@lib4ri.ch,058 765 57 00
Mathematik-Bibliothek ETH Zürich,Rämistrasse 101,Zürich,8092,mathbib@math.ethz.ch,044 6323401
Mathematisches Institut der Universität Zürich-Irchel,Winterthurerstrasse 190,Zürich,8057,bibliothek@math.uzh.ch,044/635.58.41
Max Frisch-Archiv an der ETH-Bibliothek,Rämistrasse 101,Zürich,8092,mfa@library.ethz.ch,(044) 632-40-35
Mediathek Wallisellen,Bahnhofplatz 2,Wallisellen,8304,bibliothek@schule.wallisellen.ch,044/877.64.99
Mediothek der Kantonsschule Uster,Krämerackerstrasse 11,Uster,8610,mediothek@ksuster.ch,043/444.27.08
Mediothek Niederhasli,Spitzstrasse 20,Niederhasli,8155,info@mediothek-niederhasli.ch,044 8502231
Mediothek Kantonsschule Zimmerberg,Steinacherstrasse 101,Au ZH,8804,mediothek@kszi.ch,044/7831126
Migros-Genossenschafts-Bund / Dokumentation Bild Text Ton (Historisches Firmenarchiv),Limmatstrasse 152,Zürich,8031,dokumentation@mgb.ch,044 2772162
Mittellateinisches Seminar / Bibliothek,Rämistr. 68 \ RAG,Zürich,8001,turicense@gmail.com,044/634.38.47
Münzkabinett und Antikensammlung der Stadt Winterthur,"Villa Bühler, Lindstrasse 8",Winterthur,8400,muenzkabinett@win.ch,(052) 267-51-46
Museum für Gestaltung / Sammlungen,Toni-Areal / Pfingstweidstrasse 96,Zürich,8031,sammlungen@museum-gestaltung.ch,(043) 446-66-77
Museum Rietberg Zürich,Gablerstrasse 15,Zürich,8002,museum.rietberg@zuerich.ch,044/415.31.31
Museumsgesellschaft Zürich / Bibliothek,Limmatquai 62,Zürich,8001,bibliothek@mug.ch,044 2545005
Ortsgeschichtliches Archiv / Ortsmuseum Küsnacht,Tobelweg 1,Küsnacht ZH,8700,info@ortsmuseum-kuesnacht.ch,044 9105970
Pädagogische Hochschule Zürich / Bibliothek PH Zürich,Lagerstrasse 2,Zürich,8090,bibliothek@phzh.ch,043 305 66 00
Paläontologisches Institut und Museum der Universität / Bibliothek,Karl Schmid-Strasse 4,Zürich,8006,bibliothek@pim.uzh.ch,044/634.23.39
PBZ Pestalozzi-Bibliothek Zürich,Zähringerstrasse 17,Zürich,8022,info@pbz.ch,044 204 96 96
Philosophisches Seminar der Universität Zürich / Bibliothek,Rämistr. 71 / Raum F114,Zürich,8006,philbib@philos.uzh.ch,044-634-45-36
Phonetisches Laboratorium der Universität Zürich / Bibliothek,Rämistrasse 71,Zürich,8006,schmidst@pholab.uzh.ch,044-634-30-01
"Primarschule Wetzikon, Bibliothek",Guldisloostrasse 1,Wetzikon,8620,urs.kienast@wetzikon.ch,044-931-23-28
"Pro Infirmis, Historisches Archiv",Feldeggstrasse 71,Zürich,8032,contact@proinfirmis.ch,058/7752000
Pro Senectute Bibliothek,Bederstrasse 33,Zürich,8002,bibliothek@prosenectute.ch,044-283-89-81
Psychologisches Institut der Universität Zürich Bibliothek,Binzmühlestrasse 14/2,Zürich,8050,bibliothek@psychologie.uzh.ch,044/6357171
Radgenossenschaft der Landstrasse / Archiv und Dokumentationszentrum,Hermetschloosstrasse 73,Zürich,8048,info@radgenossenschaft.ch,044 432 54 44
Rechtswissenschaftliches Institut der Universität Zürich / Bibliothek,Rämistrasse 74 / 27,Zürich,8001,bibliothek@rwi.uzh.ch,044-634-30-99
Relimedia,Gemeindestrasse 11,Zürich,8032,info@relimedia.ch,044/5222660
Rheumaliga Schweiz / Dokumentation,Josefstrasse 92,Zürich,8005,info@rheumaliga.ch,044/4874000
Romanisches Seminar der Universität / Bibliothek,Zürichbergstrasse 8,Zürich,8028,bibliothek@rom.uzh.ch,044/634.36.15
Schul- und Gemeindebibliothek,Schulstrasse 27,Wiesendangen,8542,bibliothek@wiesendangen,052-337-20-72
Schul- und Gemeindebibliothek Glattfelden,Dorfstrasse 61,Glattfelden,8192,bibliothek@schule-glattfelden.ch,044-867-13-55
Schul- und Gemeindebibliothek Rorbas,Schulhausstrasse 10,Rorbas,8427,bibliothek-rft@bluewin.ch,044 8650781
Schweizer Tanzarchiv,Limmatstrasse 265,Zürich,8005,info@tanzarchiv.ch,043/2052902
"Schweizerische Nationalbank, Archiv",Börsenstrasse 15,Zürich,8022,Archiv@snb.ch,044-631-34-55
Schweizerische Nationalbank Bibliothek,Börsenstrasse 15,Zürich,8022,library@snb.ch,058/631.11.50
Schweizerische Normen-Vereinigung (SNV),Bürglistrasse 29,Winterthur,8400,info@snv.ch,052/2245454
Schweizerische Stiftung für die Photographie,Grüzenstrasse 45,Winterthur,8400,info@fotostiftung.ch,052/234.10.30
Schweizerische Textilfachschule STF,Hallwylstrasse 71,Zürich,8004,info@stf.ch,044/360.41.51
Schweizerischer Israelitischer Gemeindebund (SIG) / Dokumentation,Gotthardstrasse 65,Zürich,8027,info@swissjews.org,(043) 305-07-77
Schweizerisches Institut für Kinder- und Jugendmedien SIKJM - Bibliothek,Georgengasse 6,Zürich,8006,bibliothek@sikjm.ch,(043) 268-23-10
Schweizerisches Nationalmuseum / Landesmuseum Zürich / Bibliothek,Museumstrasse 2,Zürich,8021,bibliothek@nationalmuseum.ch,044 2186531
Schweizerisches Sozialarchiv,Stadelhoferstrasse 12,Zürich,8001,kontakt@sozialarchiv.ch,043/2688750
Schwubliothek / Bibliothek der HAZ - Queer Zürich,Sihlquai 67,Zürich,8005,schwubliothek@haz.ch,044 271 22 50
Seminar für Allgemeine und Vergleichende Literaturwissenschaft der Universität Zürich / Bibliothek,Plattenstrasse 43,Zürich,8032,mnebel@komp.uzh.ch,044/634.35.35
Seminar für Griechische und Lateinische Philologie / Bibliothek Abteilung Antike,Rämistrasse 68,Zürich,8001,bibliothek@sglp.uzh.ch,044/6342041
SIK-ISEA Schweizerisches Institut für Kunstwissenschaft,Zollikerstrasse 32,Zürich,8032,sik@sik-isea.ch,044 3885151
Slavisches Seminar der Universität / Bibliothek,Plattenstrasse 43,Zürich,8032,bibliothek@slav.uzh.ch,(044) 634-35-18
Sozialdepartement der Stadt Zürich / Informationszentrum,Werdstrasse 75,Zürich,8036,izs@zuerich.ch,(044) 412-70-00
"Sozialversicherungsgericht des Kantons Zürich, Bibliothek",Lagerhausstrasse 19,Winterthur,8401,mail@svger-zh.ch,052/268.10.10
Soziologisches Institut Bibliothek,Andreasstrasse 15,Zürich,8050,bibsoz@soziologie.uzh.ch,044/635.23.88
Staatsarchiv des Kantons Zürich,Winterthurerstrasse 170,Zürich,8057,staatsarchivzh@ji.zh.ch,043/2585000
Stadt Zürich Geomatik + Vermessung,Weberstrasse 5,Zürich,8004,geoz@zuerich.ch,(044) 412-42-56
Stadt- und Regionalbibliothek Dietikon,Bremgartnerstrasse 20,Dietikon,8953,bibliothek@dietikon.ch,044/744.36.36
Stadt- und Regionalbibliothek Uster,Bankstrasse 17,Uster,8610,info@stadtbibliothek-uster.ch,044/9447750
Stadtarchiv und Kläui Bibliothek,Bahnhofstrasse 17,Uster,8610,stadtarchiv@uster.ch,044/9447224
Stadtbibliothek Bülach,Marktgasse 35,Buelach,8180,werner.oetiker@bluewin.ch,(079) 254-25-86
Stadtbibliothek Dübendorf,Bettlistrasse 22,Dübendorf,8600,stadtbibliothek@duebendorf.ch,044 8018353
Stadtbibliothek Winterthur,Obere Kirchgasse 6,Winterthur,8401,stadtbibliothek@win.ch,052-267-51-48
Stadtspital Triemli Medizinische Bibliothek,Birmensdorferstrassse 497,Zürich,8063,bibliothek@triemli.zuerich.ch,044/4165020
Stadtspital Waid / Bibliothek,Tièchestrasse 99,Zürich,8037,bibliothek@waid.zuerich.ch,044-366-21-80
Statistisches Seminar / Bibliothek,c/o Sozialökonomisches Institut der Universität / Rämistrasse 71,Zürich,8006,soilib@soi.uzh.ch,044 634 21 37
Stiftung Gottfried-Keller-Zentrum,Gottfried Keller-Strasse 8,Glattfelden,8192,info@gkz.ch,044-867-22-32
Stiftung Hilfswerk der Evangelischen Kirchen Schweiz (HEKS),Seminarstrasse 28,Zürich,8042,direktion@heks.ch,(044) 360-88-00
Switzerland Global Enterprise (S-GE),Stampfenbachstrasse 85,Zürich,8006,info@s-ge.com,(044) 365-51-51
Tamedia AG Unternehmensarchiv,Werdstrasse 21,Zürich,8021,sandra.reisinger@tamedia.ch,044 248 41 00
